date,workerid,amount
Fri Jul 06 09:19:19 PDT 2018,A2I4QB4NKW4D0O,0.75
Fri Jul 06 09:19:41 PDT 2018,A2MQGU4NZZ8V0H,0.75
Fri Jul 06 09:21:30 PDT 2018,A2DDXYTEVDV5F5,0.75
Fri Jul 06 09:22:40 PDT 2018,A2RWLFIP23FZA7,0.75
Fri Jul 06 09:23:22 PDT 2018,A1E77HZO63E334,0.75
Fri Jul 06 09:27:24 PDT 2018,A2XTK2B7R27RBG,0.75
Fri Jul 06 09:40:14 PDT 2018,A2I3Y0L38HMQLZ,0.75
Fri Jul 06 09:46:02 PDT 2018,A37XJVQF62ZYC,0.75
Fri Jul 06 09:53:35 PDT 2018,A2FYOODQB0AHWX,0.75
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
