date,workerid,amount
Tue Jan 30 10:44:14 PST 2018,A2HC9549CZAKNN,1.25
Tue Jan 30 10:45:02 PST 2018,A125KW9P18V5Z1,1.25
Tue Jan 30 10:45:58 PST 2018,APGX2WZ59OWDN,1.25
Tue Jan 30 10:46:00 PST 2018,A2LEZ5Y4L4AUHA,1.25
Tue Jan 30 10:46:18 PST 2018,ADGE1P244LWYU,1.25
Tue Jan 30 10:48:14 PST 2018,A14P3ZTCQI6B3S,1.25
Tue Jan 30 10:49:19 PST 2018,AU8YVB738G6C,1.25
Tue Jan 30 10:57:38 PST 2018,AG7C4X3WKKBV,1.25
Tue Jan 30 10:58:12 PST 2018,A4IH4CO046EV3,1.25
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
