date,workerid,amount
Fri Jun 22 11:31:04 PDT 2018,ALKQPW0O9C98N,0.75
Fri Jun 22 11:33:23 PDT 2018,A18SXC3JEN1O0U,0.75
Fri Jun 22 11:35:31 PDT 2018,A2YGAEODJ5SSF6,0.75
Fri Jun 22 11:39:07 PDT 2018,A1DBPM1UHEP4MU,0.75
Fri Jun 22 11:44:56 PDT 2018,A1J2LT95B6EXC2,0.75
Fri Jun 22 11:47:32 PDT 2018,A3OB6REG5CGHK1,0.75
Fri Jun 22 11:48:52 PDT 2018,A36SM7QM8OK3H6,0.75
Fri Jun 22 12:05:40 PDT 2018,ALPB2XQ87MMZM,0.75
Fri Jun 22 12:58:10 PDT 2018,A13HZKB2NGZP6B,0.75
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
