date,workerid,amount
Fri Jul 06 09:17:17 PDT 2018,A2JZUSRBP6H5S,0.75
Fri Jul 06 09:17:35 PDT 2018,A1I72NHC21347A,0.75
Fri Jul 06 09:18:37 PDT 2018,A2WCXJZEXXR60A,0.75
Fri Jul 06 09:19:35 PDT 2018,A1JQ3GAFW1XZYZ,0.75
Fri Jul 06 09:21:06 PDT 2018,A2G7N0X0PNX0EE,0.75
Fri Jul 06 09:27:06 PDT 2018,A1TEVZP5DA1XYZ,0.75
Fri Jul 06 09:27:49 PDT 2018,AKJ22H1NTVIQX,0.75
Fri Jul 06 09:35:53 PDT 2018,A385F5ZBEV6GWD,0.75
Fri Jul 06 09:36:40 PDT 2018,A2LR1HKNOVDTJ8,0.75
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
