date,workerid,amount
Tue Jan 30 10:42:43 PST 2018,A37KREDYGDTP4U,1.25
Tue Jan 30 10:44:23 PST 2018,A1NM7ZPZ3NH412,1.25
Tue Jan 30 10:47:04 PST 2018,A1SKX70W0BSAPV,1.25
Tue Jan 30 10:49:49 PST 2018,AQKC1VIZAZ6VI,1.25
Tue Jan 30 10:50:28 PST 2018,AITLTT4ZKSZIM,1.25
Tue Jan 30 10:51:44 PST 2018,A28T38MOUG43YD,1.25
Tue Jan 30 10:57:07 PST 2018,A28SYXQL3YOKVL,1.25
Tue Jan 30 11:00:38 PST 2018,A2RBF3IIJP15IH,1.25
Tue Jan 30 11:27:39 PST 2018,A2O762LZEZN3JC,1.25
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
