world state favored (3 being unifrom), prior on inverse, favored QUD(1 being 'many?' 3 being uniform), endorsement probability
0,0.1,1,0.1005
0,0.5,1,0.2856
0,0.9,1,0.47335
0,0.1,2,0.45127
0,0.5,2,0.48206
0,0.9,2,0.51291
0,0.1,0,0.07512
0,0.5,0,0.15899
0,0.9,0,0.24569
0,0.1,3,0.20812
0,0.5,3,0.30903
0,0.9,3,0.41116
1,0.1,1,0.35654
1,0.5,1,0.48039
1,0.9,1,0.5367
1,0.1,2,0.52806
1,0.5,2,0.5377
1,0.9,2,0.54767
1,0.1,0,0.34505
1,0.5,0,0.45341
1,0.9,0,0.49648
1,0.1,3,0.44673
1,0.5,3,0.49336
1,0.9,3,0.52696
2,0.1,1,0.61749
2,0.5,1,0.84387
2,0.9,1,0.95057
2,0.1,2,0.94733
2,0.5,2,0.95849
2,0.9,2,0.97023
2,0.1,0,0.49849
2,0.5,0,0.56386
2,0.9,0,0.60221
2,0.1,3,0.77932
2,0.5,3,0.83671
2,0.9,3,0.88741
3,0.1,1,0.22801
3,0.5,1,0.47343
3,0.9,1,0.65778
3,0.1,2,0.63807
3,0.5,2,0.66702
3,0.9,2,0.69682
3,0.1,0,0.18548
3,0.5,0,0.32317
3,0.9,0,0.41896
3,0.1,3,0.38539
3,0.5,3,0.4952
3,0.9,3,0.59269
