date,workerid,amount
Mon Jul 09 13:49:44 PDT 2018,A2C73Y1COWCA51,0.8
Mon Jul 09 14:04:30 PDT 2018,A1VZSFHTU51JP0,0.8
Mon Jul 09 14:07:41 PDT 2018,AM2KK02JXXW48,0.8
Mon Jul 09 14:09:09 PDT 2018,A3VDG4N48AVYGQ,0.8
Mon Jul 09 14:12:49 PDT 2018,AN098C29EGJ6,0.8
Mon Jul 09 14:15:20 PDT 2018,A1K0NG4K8VG7E,0.8
Mon Jul 09 14:23:06 PDT 2018,A2O68J7PBH42MA,0.8
Mon Jul 09 14:32:27 PDT 2018,A2LCOTUKCDULAA,0.8
Mon Jul 09 14:57:12 PDT 2018,A1WLFFB5SYP7OF,0.8
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
